227,208,0
229,206,0
231,204,0
234,202,0
237,199,0
244,193,0
252,186,0
261,180,0
266,178,0
272,176,0
277,174,0
284,173,0
290,173,0
298,174,0
306,175,0
315,177,0
325,180,0
336,183,0
348,187,0
360,191,0
385,200,0
397,205,0
409,210,0
420,216,0
431,221,0
441,227,0
449,233,0
457,238,0
460,241,0
463,244,0
467,249,0
471,255,0
473,260,0
475,266,0
477,273,0
477,279,0
477,285,0
476,292,0
475,298,90
473,305,90
469,318,90
464,331,90
459,345,90
455,351,90
452,358,90
447,366,90
443,374,90
438,382,90
432,389,90
420,405,90
408,420,90
402,427,90
396,434,90
390,440,90
384,445,90
379,450,90
374,454,90
369,457,90
364,460,90
359,462,90
355,464,90
351,465,90
346,466,90
342,467,90
338,467,90
329,466,90
320,464,90
311,461,90
302,457,90
296,454,90
291,451,90
285,447,90
279,443,90
272,438,90
266,434,90
253,423,90
241,412,90
235,407,90
230,401,90
225,395,90
220,390,90
217,385,90
214,380,90
211,375,90
209,369,90
208,364,90
207,359,90
206,354,90
206,349,90
206,338,90
207,328,90
209,318,90
212,308,90
216,300,90
219,291,90
224,283,90
229,275,90
235,268,90
241,262,90
249,256,90
257,251,90
267,248,90
272,246,90
278,245,90
284,244,90
291,243,90
306,243,90
321,243,90
336,244,90
343,245,90
350,246,90
356,247,90
361,249,90
366,251,90
371,254,90
374,256,90
377,260,90
379,263,90
381,268,90
382,272,90
384,277,90
385,287,90
385,298,90
385,308,90
385,318,90
385,322,90
385,327,90
385,343,90
384,351,90
384,359,90
382,366,90
380,372,90
376,377,90
374,380,90
372,382,90
368,383,90
365,385,90
360,386,90
355,387,90
350,388,90
344,388,90
333,389,90
321,389,90
316,388,90
311,387,90
306,386,90
301,385,90
298,383,90
295,382,90
292,379,90
290,376,90
288,372,90
286,368,90
285,364,90
284,359,90
282,349,90
282,339,90
282,330,90
283,325,90
284,322,90
284,318,90
286,316,90
287,313,90
289,311,90
291,309,90
294,308,90
301,305,90
308,303,90
315,303,90
322,302,90
325,303,90
328,303,90
330,304,90
332,305,90
333,306,90
334,307,90
334,309,90
335,312,90
335,318,180
334,324,180
334,330,180
333,336,180
332,339,180
332,341,180
332,343,180
332,345,180
