74,255
79,255
85,256
93,257
101,258
111,260
121,262
131,263
142,265
153,266
164,267
174,267
185,267
194,266
203,265
211,262
219,259
222,256
225,253
228,250
230,247
233,243
236,238
240,229
245,218
249,207
256,184
259,172
263,162
266,152
269,143
271,139
272,136
274,133
276,130
278,128
280,127
282,126
284,126
286,126
288,127
289,129
291,131
293,133
295,137
296,140
298,144
302,153
305,163
308,174
312,186
319,210
323,221
328,232
333,242
335,247
338,251
341,255
344,258
347,261
351,264
354,266
358,267
367,269
378,270
389,270
401,270
413,268
426,266
438,264
450,262
461,261
472,259
481,259
485,259
489,259
492,260
495,261
498,262
500,263
501,265
502,268
502,270
501,273
500,277
498,280
495,284
492,288
489,292
485,297
480,302
476,307
465,317
454,328
443,339
431,350
420,362
409,373
399,384
395,390
390,395
387,400
384,406
381,411
379,415
377,420
377,425
376,429
377,433
378,438
380,443
382,447
384,452
388,457
391,461
399,471
408,480
417,489
427,498
436,507
445,515
454,522
457,525
461,529
464,531
466,534
468,537
470,539
471,541
471,543
471,544
470,546
468,546
465,547
463,547
459,546
455,546
451,544
446,543
441,541
430,537
417,533
404,527
389,522
375,516
360,510
346,505
332,500
318,496
306,493
294,491
289,491
285,491
280,491
276,491
267,494
258,497
250,502
242,507
234,513
227,519
219,525
213,531
206,537
201,542
195,546
190,550
186,551
184,552
182,552
180,551
179,551
177,549
176,548
175,543
175,538
176,531
177,523
179,515
181,506
184,496
188,476
190,466
191,456
192,446
192,436
190,427
188,419
184,410
178,401
172,392
165,383
157,373
148,364
130,345
121,336
112,328
103,320
95,312
88,305
81,299
76,293
72,289
